adsorption_energy,adsorbed_molecule,adsorbed_molecule_encoded
-17.350489,CH4,2
-18.938791,CH4,2
-15.972864,CH4,2
-17.514543,CH4,2
-20.902684,CH4,2
-20.848509,CH4,2
-18.689019,CH4,2
-18.814873,CH4,2
-23.524425,CH4,2
-22.009367,CH4,2
-23.381701,CH4,2
-15.783947,CH4,2
-11.717167,CH4,2
-24.397317,CH4,2
-17.204465,CH4,2
-15.637507,CH4,2
-16.631672,CH4,2
-24.336987,CH4,2
-18.726865,CH4,2
-17.451578,CH4,2
-16.911965,CH4,2
-20.471903,CH4,2
-19.599997,CH4,2
-26.128584,CH4,2
-17.270837,CH4,2
-17.350844,CH4,2
-17.136951,CH4,2
-22.592047,CH4,2
-18.352929,CH4,2
-20.429023,CH4,2
-16.086502,CH4,2
-16.478447,CH4,2
-26.294453,CH4,2
-18.705889,CH4,2
-18.934109,CH4,2
-24.476631,CH4,2
-19.581085,CH4,2
-20.600635,CH4,2
-18.186861,CH4,2
-20.369728,CH4,2
-20.452751,CH4,2
-23.718267,CH4,2
-19.393466,CH4,2
-21.879317,CH4,2
-17.534181,CH4,2
-16.474391,CH4,2
-12.995022,CH4,2
-23.957433,CH4,2
-21.104076,CH4,2
-20.352793,CH4,2
-21.765657,CH4,2
-20.586443,CH4,2
-17.261345,CH4,2
-19.715678,CH4,2
-16.742571,CH4,2
-17.621546,CH4,2
-17.810379,CH4,2
-19.388998,CH4,2
-18.617702,CH4,2
-21.274017,CH4,2
-16.056627,CH4,2
-23.498292,CH4,2
-16.196963,CH4,2
-15.116694,CH4,2
-18.640793,CH4,2
-17.025138,CH4,2
-24.485113,CH4,2
-17.555841,CH4,2
-17.712805,CH4,2
-19.66806,CH4,2
-19.224991,CH4,2
-15.202323,CH4,2
-15.36436,CH4,2
-15.262115,CH4,2
-13.370607,CH4,2
-15.203416,CH4,2
-16.734356,CH4,2
-18.18769,CH4,2
-22.131512,CH4,2
-19.664636,CH4,2
-17.755481,CH4,2
-16.29219,CH4,2
-17.829358,CH4,2
-20.635746,CH4,2
-18.845871,CH4,2
-19.625453,CH4,2
-19.940689,CH4,2
-15.612481,CH4,2
-17.800307,CH4,2
-20.628278,CH4,2
-18.585516,CH4,2
-17.391083,CH4,2
-18.389866,CH4,2
-23.081833,CH4,2
-21.200193,CH4,2
-22.207371,CH4,2
-18.69838,CH4,2
-22.053086,CH4,2
-20.12567,CH4,2
-17.62923,CH4,2
-15.972467,CH4,2
-15.105738,CH4,2
-17.977872,CH4,2
-20.440684,CH4,2
-23.488369,CH4,2
-20.562123,CH4,2
-19.543896,CH4,2
-15.691425,CH4,2
-22.279995,CH4,2
-17.84147,CH4,2
-16.648183,CH4,2
-20.196772,CH4,2
-17.680965,CH4,2
-17.628426,CH4,2
-19.429139,CH4,2
-18.822182,CH4,2
-19.658905,CH4,2
-18.921932,CH4,2
-21.380997,CH4,2
-15.463322,CH4,2
-19.910668,CH4,2
-15.555201,CH4,2
-20.68587,CH4,2
-21.205599,CH4,2
-21.611635,CH4,2
-17.837549,CH4,2
-15.848816,CH4,2
-16.893075,CH4,2
-27.967299,CH4,2
-17.907968,CH4,2
-16.399518,CH4,2
-20.748602,CH4,2
-22.026185,CH4,2
-25.467838,CH4,2
-16.609796,CH4,2
-16.154468,CH4,2
-16.240273,CH4,2
-22.204141,CH4,2
-17.1225,CH4,2
-12.765612,CH4,2
-15.605258,CH4,2
-16.563679,CH4,2
-19.053652,CH4,2
-24.269472,CH4,2
-16.792071,CH4,2
-19.444605,CH4,2
-23.58198,CH4,2
-17.467445,CH4,2
-20.282904,CH4,2
-19.940877,CH4,2
-19.42633,CH4,2
-20.754583,CH4,2
-23.22599,CH4,2
-18.23818,CH4,2
-12.558567,CH4,2
-23.381891,CH4,2
-19.479461,CH4,2
-18.556161,CH4,2
-20.105355,CH4,2
-18.911463,CH4,2
-16.139922,CH4,2
-16.194958,CH4,2
-17.405934,CH4,2
-18.558141,CH4,2
-18.240674,CH4,2
-20.438308,CH4,2
-17.747163,CH4,2
-24.223463,CH4,2
-12.931688,CH4,2
-24.833549,CH4,2
-15.610261,CH4,2
-15.566737,CH4,2
-18.555216,CH4,2
-16.52373,CH4,2
-19.991267,CH4,2
-17.144757,CH4,2
-16.503276,CH4,2
-16.500606,CH4,2
-18.402168,CH4,2
-14.872591,CH4,2
-18.487705,CH4,2
-15.272448,CH4,2
-14.53092,CH4,2
-17.546086,CH4,2
-16.506521,CH4,2
-14.296622,CH4,2
-16.557371,CH4,2
-19.513828,CH4,2
-19.440654,CH4,2
-18.915056,CH4,2
-17.345828,CH4,2
-17.096001,CH4,2
-15.957337,CH4,2
-17.92694,CH4,2
-21.582237,CH4,2
-14.418801,CH4,2
-15.150951,CH4,2
-20.569437,CH4,2
-18.577876,CH4,2
-15.965118,CH4,2
-14.908736,CH4,2
-17.250232,CH4,2
-21.459687,CH4,2
-20.850005,CH4,2
-21.279317,CH4,2
-21.605537,CH4,2
-20.895038,CH4,2
-19.433026,CH4,2
-16.187231,CH4,2
-18.92031,CH4,2
-17.504753,CH4,2
-17.41416,CH4,2
-17.562185,CH4,2
-17.481829,CH4,2
-21.363936,CH4,2
-18.914824,CH4,2
-16.326411,CH4,2
-17.614245,CH4,2
-15.787094,CH4,2
-19.631929,CH4,2
-17.617138,CH4,2
-20.113159,CH4,2
-21.074201,CH4,2
-21.301922,CH4,2
-18.775932,CH4,2
-21.061192,CH4,2
-22.641723,CH4,2
-13.199447,CH4,2
-22.237461,CH4,2
-19.943319,CH4,2
-18.005954,CH4,2
-16.880323,CH4,2
-17.453261,CH4,2
-15.449114,CH4,2
-28.329866,CH4,2
-17.222975,CH4,2
-15.380757,CH4,2
-19.881601,CH4,2
-20.966839,CH4,2
-24.182613,CH4,2
-16.999656,CH4,2
-16.451519,CH4,2
-17.621992,CH4,2
-22.541858,CH4,2
-22.083198,CH4,2
-22.038992,CH4,2
-18.042005,CH4,2
-13.683153,CH4,2
-16.936872,CH4,2
-15.789544,CH4,2
-19.808963,CH4,2
-24.010473,CH4,2
-20.474663,CH4,2
-21.139072,CH4,2
-21.879393,CH4,2
-22.815167,CH4,2
-19.679232,CH4,2
-18.538543,CH4,2
-21.631129,CH4,2
-19.205106,CH4,2
-20.950208,CH4,2
-20.008326,CH4,2
-13.444399,CH4,2
-16.160174,CH4,2
-13.386872,CH4,2
-30.343373,CH4,2
-19.891363,CH4,2
-23.598028,CH4,2
-21.149158,CH4,2
-22.33041,CH4,2
-17.901759,CH4,2
-17.373499,CH4,2
-19.03922,CH4,2
-18.379759,CH4,2
-17.284045,CH4,2
-19.274469,CH4,2
-19.628247,CH4,2
-28.144625,CH4,2
-14.578552,CH4,2
-26.1395,CH4,2
-16.556369,CH4,2
-16.568927,CH4,2
-17.900536,CH4,2
-16.026337,CH4,2
-15.605495,CH4,2
-21.132744,CH4,2
-17.471812,CH4,2
-17.887725,CH4,2
-16.93316,CH4,2
-19.712672,CH4,2
-13.853358,CH4,2
-21.702556,CH4,2
-14.750673,CH4,2
-14.686015,CH4,2
-15.906569,CH4,2
-15.686198,CH4,2
-15.715419,CH4,2
-17.365922,CH4,2
-21.44143,CH4,2
-20.800806,CH4,2
-36.415497,H2O_5,6
-3.604078001,H2O_5,6
-16.82433,H2O_5,6
-25.108816,H2O_5,6
-2.677593,H2O_5,6
-7.544551001,H2O_5,6
-5.405750999,H2O_5,6
-16.089373,H2O_5,6
-16.269873,H2O_5,6
-15.697118,H2O_5,6
-17.060195,H2O_5,6
-14.163896,H2O_5,6
-17.544799,H2O_5,6
-21.572836,H2O_5,6
-17.983123,H2O_5,6
-18.807269,H2O_5,6
-7.616063,H2O_5,6
-14.183713,H2O_5,6
-12.200038,H2O_5,6
-34.992437,H2O_5,6
-13.830431,H2O_5,6
-6.532613,H2O_5,6
-13.85816,H2O_5,6
-20.437397,H2O_5,6
-19.953923,H2O_5,6
-13.731178,H2O_5,6
-11.328481,H2O_5,6
-30.815875,H2O_5,6
-11.17896,H2O_5,6
-12.017581,H2O_5,6
-19.293026,H2O_5,6
-7.420387999,H2O_5,6
-16.58499,H2O_5,6
-13.247112,H2O_5,6
-16.391598,H2O_5,6
-10.725382,H2O_5,6
-4.982818001,H2O_5,6
-14.627203,H2O_5,6
-27.385325,H2O_5,6
-15.003149,H2O_5,6
-11.066955,H2O_5,6
-11.735759,H2O_5,6
-17.144763,H2O_5,6
-8.528463001,H2O_5,6
-10.415784,H2O_5,6
-22.531537,H2O_5,6
-21.391471,H2O_5,6
-35.272243,H2O_5,6
-11.051714,H2O_5,6
-17.910797,H2O_5,6
-12.523413,H2O_5,6
-30.917505,H2O_5,6
-9.74576,H2O_5,6
-21.670848,H2O_5,6
-8.848148,H2O_5,6
-12.226172,H2O_5,6
-19.113526,H2O_5,6
-12.287903,H2O_5,6
-20.314818,H2O_5,6
-4.730186999,H2O_5,6
-8.076959998,H2O_5,6
-14.142755,H2O_5,6
-9.593113999,H2O_5,6
-10.925171,H2O_5,6
-28.563567,H2O_5,6
-28.097742,H2O_5,6
-13.260457,H2O_5,6
-2.57973,H2O_5,6
-31.95282,H2O_5,6
-15.11879,H2O_5,6
-17.344159,H2O_5,6
-40.240342,H2O_5,6
-19.671046,H2O_5,6
3.353858001,H2O_5,6
-7.847773,H2O_5,6
-24.897989,H2O_5,6
-6.879476001,H2O_5,6
-4.319849001,H2O_5,6
-16.505991,H2O_5,6
-7.793131001,H2O_5,6
-16.819737,H2O_5,6
-35.154759,H2O_5,6
-20.15163,H2O_5,6
-13.43636,H2O_5,6
-29.08148,H2O_5,6
-16.632242,H2O_5,6
-19.091557,H2O_5,6
-6.873736,H2O_5,6
